,loss
0,204.8765603005886
1,203.30348894000053
2,196.82043597102165
3,185.6581164598465
4,179.67778134346008
5,178.4904159605503
6,177.96105495095253
7,177.59579175710678
8,177.39041504263878
9,177.21477404236794
10,175.59448936581612
11,173.6945224404335
12,173.17053693532944
13,172.8479786813259
14,171.45733186602592
15,169.99311619997025
16,169.38684013485909
17,169.0972449183464
18,168.86281284689903
19,168.64961484074593
20,168.5361587703228
21,168.34553262591362
22,168.23258665204048
23,168.04577332735062
24,167.97696468234062
25,167.87918835878372
26,167.8184694647789
27,167.7845114171505
28,167.75064361095428
29,167.5725072324276
30,167.60498505830765
31,167.4650676548481
32,167.4398045539856
33,167.3513270020485
34,167.36458218097687
35,167.21136456727982
36,167.24510464072227
37,167.1409078836441
38,167.02517089247704
39,167.04774594306946
40,166.96827873587608
41,166.94481667876244
42,166.94180369377136
43,166.8518336713314
44,166.8079408109188
45,166.71175748109818
46,164.86368072032928
47,163.4593609571457
48,163.1042675971985
49,162.8940882384777
50,162.73331353068352
51,162.5901919901371
52,162.4768684208393
53,162.39472153782845
54,162.35478901863098
55,162.26310911774635
56,162.16930589079857
57,162.140515178442
58,162.07524529099464
59,162.0081645846367
60,161.96419927477837
61,161.94432842731476
62,161.8988782465458
63,161.8510403931141
64,161.8182882964611
65,161.7875245809555
66,161.76346161961555
67,161.75997999310493
68,161.70287591218948
69,161.6917105615139
70,161.65247955918312
71,161.62060365080833
72,161.62176355719566
73,161.57204127311707
74,161.55582457780838
75,161.53996843099594
76,161.53484725952148
77,161.52060315012932
78,161.50732642412186
79,161.4903295636177
80,161.43719524145126
81,161.44353184103966
82,161.4338454902172
83,161.41767999529839
84,161.39467191696167
85,161.38680231571198
86,161.3571729362011
87,161.34066823124886
88,161.35436129570007
89,161.33922052383423
90,161.32701379060745
91,161.31179335713387
92,161.30647414922714
93,161.30702033638954
94,161.28576800227165
95,161.2770801782608
96,161.25225827097893
97,161.2766357064247
98,161.24454021453857
99,161.25288945436478
